customer_id,signup_date
C0231,2025-03-10
C0232,2025-09-12
C0233,2025-06-09
C0234,2025-10-09
C0235,2025-08-29
C0236,2025-05-21
C0237,2025-09-07
C0238,2025-01-26
C0239,2025-12-21
C0240,2025-12-10
C0241,2025-10-19
C0242,2024-10-09
C0243,2024-08-09
C0244,2024-12-18
C0245,2024-09-25
C0246,2024-12-04
C0247,2025-11-12
C0248,2026-04-24
C0249,2025-05-06
C0250,2025-05-23
C0251,2026-04-12
C0252,2025-10-09
C0253,2026-02-28
C0254,2025-12-20
C0255,2026-02-26
C0256,2024-09-08
C0257,2024-11-11
C0258,2026-04-10
C0259,2025-09-17
C0260,2026-03-11
C0261,2024-12-10
C0262,2025-09-12
C0263,2025-02-22
C0264,2025-12-30
C0265,2025-08-04
C0266,2026-01-06
C0267,2025-03-11
C0268,2025-08-19
C0269,2025-11-22
C0270,2025-10-09
C0271,2025-04-07
C0272,2025-07-16
C0273,2025-12-12
C0274,2024-12-14
C0275,2026-03-24
C0276,2025-10-06
C0277,2026-02-26
C0278,2024-09-03
C0279,2026-04-08
C0280,2024-10-22
C0281,2024-07-30
C0282,2025-12-02
C0283,2025-08-09
C0284,2024-11-16
C0285,2025-02-04
C0286,2025-03-24
C0287,2025-12-11
C0288,2025-10-02
C0289,2026-05-14
C0290,2025-11-12
C0291,2024-09-21
C0292,2026-03-14
C0293,2026-03-24
C0294,2026-02-17
C0295,2025-08-29
C0296,2025-11-29
C0297,2024-12-01
C0298,2026-01-24
C0299,2025-02-12
C0300,2024-11-11
C0301,2025-05-19
C0302,2025-11-29
C0303,2025-12-26
C0304,2024-12-01
C0305,2025-11-21
C0306,2025-09-22
C0307,2026-05-23
C0308,2025-07-02
C0309,2025-12-07
C0310,2025-08-26
C0311,2024-12-22
C0312,2026-05-10
C0313,2025-01-04
C0314,2024-12-31
C0315,2026-04-03
C0316,2025-04-23
C0317,2026-01-13
C0318,2025-12-11
C0319,2026-04-12
C0320,2025-02-05
C0321,2025-12-23
C0322,2026-01-16
C0323,2025-09-26
C0324,2024-09-15
C0325,2025-05-20
C0326,2024-10-21
C0327,2025-08-19
C0328,2025-02-12
C0329,2025-09-22
C0330,2025-02-20
C0331,2025-12-03
C0332,2026-02-08
C0333,2025-09-19
C0334,2025-12-17
C0335,2024-08-14
C0336,2024-09-18
C0337,2026-04-18
C0338,2026-03-24
C0339,2025-05-10
C0340,2026-01-12
C0341,2026-05-31
C0342,2025-08-10
C0343,2025-02-14
C0344,2024-12-06
C0345,2025-01-15
C0346,2024-07-07
C0347,2025-04-22
C0348,2024-11-14
C0349,2024-11-23
C0350,2025-04-13
C0351,2024-12-10
C0352,2025-02-08
C0353,2024-08-07
C0354,2024-12-15
C0355,2025-06-03
C0356,2024-09-18
C0357,2024-10-17
C0358,2025-04-12
C0359,2025-09-16
C0360,2024-12-11
C0361,2025-04-09
C0362,2025-12-12
C0363,2025-01-01
C0364,2025-01-05
C0365,2026-01-22
C0366,2026-04-24
C0367,2025-11-01
C0368,2026-03-17
C0369,2024-09-24
C0370,2025-05-20
C0371,2025-07-30
C0372,2026-02-02
C0373,2024-09-20
C0374,2025-04-04
C0375,2025-05-05
C0376,2025-05-12
C0377,2025-07-29
C0378,2025-05-14
C0379,2026-05-07
C0380,2025-07-13
C0381,2025-01-18
C0382,2025-11-09
C0383,2026-05-15
C0384,2025-10-23
C0385,2025-03-12
C0386,2024-08-16
C0387,2026-01-01
C0388,2025-02-25
C0389,2024-10-04
C0390,2026-01-08
C0391,2024-08-05
C0392,2025-07-26
C0393,2025-04-21
C0394,2025-09-23
C0395,2026-01-06
C0396,2026-05-15
C0397,2025-10-11
C0398,2025-03-08
C0399,2025-09-15
C0400,2025-01-18
C0401,2025-04-18
C0402,2025-02-08
C0403,2025-02-09
C0404,2025-05-16
C0405,2025-11-03
C0406,2025-02-11
C0407,2026-01-18
C0408,2025-04-01
C0409,2026-04-09
C0410,2025-09-22
C0411,2026-01-02
C0412,2024-08-14
C0413,2026-02-17
C0414,2025-08-02
C0415,2025-05-13
C0416,2026-04-07
C0417,2025-06-07
C0418,2025-02-09
C0419,2025-05-01
C0420,2024-07-31
C0421,2025-03-14
C0422,2026-03-13
C0423,2024-09-26
C0424,2025-08-03
C0425,2025-06-02
C0426,2024-12-23
C0427,2024-11-13
C0428,2025-01-28
C0429,2026-04-20
C0430,2025-01-26
C0431,2026-03-23
C0432,2025-06-05
C0433,2025-06-26
C0434,2025-11-14
C0435,2025-07-18
C0436,2024-12-29
C0437,2025-12-13
C0438,2026-05-20
C0439,2026-02-17
C0440,2026-01-02
C0441,2024-11-02
C0442,2025-08-28
C0443,2026-03-31
C0444,2026-05-06
C0445,2024-12-26
C0446,2025-10-20
C0447,2024-08-24
C0448,2024-12-14
C0449,2025-05-16
C0450,2026-05-07
C0451,2025-02-26
C0452,2025-04-13
C0453,2025-06-23
C0454,2024-09-11
C0455,2025-02-14
C0456,2025-06-10
C0457,2024-09-02
C0458,2025-07-01
C0459,2025-08-13
C0460,2025-05-20
C0461,2026-04-09
C0462,2024-12-18
C0463,2024-10-09
C0464,2026-01-25
C0465,2025-03-09
C0466,2025-01-17
C0467,2025-03-14
C0468,2024-12-21
C0469,2026-04-24
C0470,2024-07-18
C0471,2024-11-16
C0472,2024-10-29
C0473,2024-12-29
C0474,2026-03-24
C0475,2025-12-25
C0476,2025-05-10
C0477,2025-06-27
C0478,2024-07-24
C0479,2025-03-07
C0480,2024-08-19
C0481,2025-08-31
C0482,2026-01-04
C0483,2026-01-06
C0484,2025-11-11
C0485,2026-02-25
C0486,2024-09-07
C0487,2025-05-03
C0488,2025-08-22
C0489,2025-04-23
C0490,2025-10-18
C0491,2026-04-19
C0492,2026-04-16
C0493,2025-07-25
C0494,2026-05-19
C0495,2026-01-15
C0496,2025-11-13
C0497,2025-03-29
C0498,2024-10-26
C0499,2025-11-14
C0500,2025-03-30
