order_id,customer_id,order_date,amount,category,is_return
TXN000844,C0204,2025-09-30,391.74,Body Care,0
TXN000487,C0121,2024-11-16,362.5,Body Care,0
TXN001120,C0282,2025-12-09,1868.35,Combos,0
TXN000109,C0026,2024-12-22,746.34,Body Care,0
TXN000094,C0022,2026-05-17,1820.55,Combos,0
TXN001324,C0344,2025-12-10,1620.29,Combos,0
TXN000405,C0101,2026-06-30,1075.65,Baby Care,0
TXN000643,C0161,2024-11-21,1003.16,Baby Care,0
TXN000754,C0182,2025-02-02,1038.12,Baby Care,0
TXN000965,C0241,2026-04-01,794.91,Face Care,0
TXN000562,C0142,2026-06-05,351.28,Hair Care,0
TXN001525,C0394,2026-02-05,964.97,Combos,0
TXN001581,C0405,2026-02-01,416.5,Face Care,0
TXN001002,C0249,2025-09-03,588.38,Baby Care,0
TXN001635,C0418,2025-10-13,587.02,Hair Care,0
TXN000210,C0049,2025-05-03,446.92,Body Care,0
TXN001611,C0413,2026-02-25,582.16,Face Care,0
TXN000633,C0160,2024-11-28,1229.95,Baby Care,0
TXN001379,C0357,2025-03-26,1213.85,Baby Care,0
TXN000080,C0017,2025-03-17,418.75,Baby Care,0
TXN001722,C0442,2026-06-27,600.03,Combos,0
TXN001390,C0360,2025-04-03,822.75,Body Care,0
TXN000815,C0197,2024-07-11,621.31,Body Care,0
TXN000793,C0191,2025-05-01,296.44,Body Care,0
TXN000696,C0169,2025-07-22,504.11,Hair Care,0
TXN000457,C0113,2026-04-25,881.86,Baby Care,0
TXN001302,C0335,2024-08-14,341.72,Face Care,0
TXN000464,C0116,2025-12-01,1412.75,Combos,0
TXN001489,C0388,2025-05-08,927.34,Baby Care,0
TXN001034,C0257,2025-07-25,875.44,Baby Care,0
TXN000660,C0162,2026-02-28,793.29,Hair Care,0
TXN001091,C0272,2025-07-18,319.12,Face Care,0
TXN000430,C0109,2025-09-02,777.02,Face Care,0
TXN001373,C0355,2026-06-11,488.03,Face Care,0
TXN000403,C0101,2026-04-10,221.21,Hair Care,0
TXN000736,C0178,2025-12-14,936.1,Body Care,0
TXN000668,C0164,2026-03-29,211.31,Hair Care,0
TXN001276,C0326,2025-02-02,605.93,Combos,0
TXN000566,C0143,2026-06-23,271.56,Body Care,0
TXN001234,C0316,2025-05-30,1246.08,Combos,0
TXN000409,C0104,2024-07-29,878.73,Body Care,0
TXN000433,C0109,2025-12-26,409.23,Face Care,0
TXN001005,C0250,2025-06-05,1792.98,Combos,0
TXN001556,C0403,2025-03-29,412.39,Face Care,0
TXN000251,C0061,2025-04-28,1096.16,Combos,0
TXN001282,C0328,2025-04-23,697.27,Hair Care,0
TXN001730,C0449,2025-06-20,411.61,Face Care,0
TXN000046,C0010,2025-10-09,954.48,Combos,0
TXN001634,C0418,2025-09-13,1646.78,Combos,0
TXN000315,C0079,2025-05-26,759.54,Hair Care,0
TXN000900,C0225,2026-05-16,1541.67,Combos,0
TXN001488,C0388,2025-04-01,507.24,Hair Care,0
TXN000292,C0073,2025-12-10,333.34,Hair Care,0
TXN000167,C0040,2026-04-18,458.27,Baby Care,0
TXN000361,C0095,2026-05-06,559.34,Baby Care,0
TXN000393,C0100,2026-06-20,1573.06,Combos,0
TXN000493,C0121,2025-06-28,620.22,Baby Care,0
TXN000387,C0099,2026-03-17,966.35,Baby Care,0
TXN000119,C0029,2025-05-23,1638.3,Combos,0
TXN000854,C0206,2026-05-19,1009.76,Baby Care,0
TXN001000,C0249,2025-06-28,411.13,Baby Care,0
TXN001353,C0351,2025-01-19,573.21,Hair Care,1
TXN000343,C0090,2025-09-24,1086.61,Baby Care,0
TXN001799,C0465,2025-06-09,1381.89,Combos,0
TXN000490,C0121,2025-03-16,413.65,Hair Care,0
TXN001517,C0393,2025-09-21,752.75,Combos,0
TXN000951,C0238,2025-02-22,625.15,Baby Care,0
TXN001616,C0415,2025-05-22,1045.71,Baby Care,0
TXN000064,C0015,2025-05-26,868.83,Face Care,0
TXN001468,C0380,2026-06-29,282.69,Face Care,0
TXN000627,C0159,2025-09-08,416.58,Face Care,1
TXN001436,C0372,2026-02-08,702.24,Body Care,0
TXN000252,C0061,2025-05-25,207.96,Hair Care,0
TXN001012,C0254,2026-03-07,581.02,Body Care,0
TXN001217,C0309,2026-06-24,263.94,Body Care,0
TXN000732,C0177,2026-04-09,979.58,Body Care,0
TXN001614,C0413,2026-06-16,748.78,Hair Care,0
TXN001595,C0410,2025-10-03,874.53,Baby Care,0
TXN001670,C0428,2025-02-09,756.09,Body Care,1
TXN000726,C0176,2024-12-03,1503.05,Combos,0
TXN001471,C0382,2025-12-27,633.01,Face Care,0
TXN000439,C0111,2025-09-03,1122.35,Combos,0
TXN000648,C0161,2025-05-15,255.87,Face Care,0
TXN001045,C0260,2026-06-12,276.77,Face Care,0
TXN000350,C0090,2026-05-06,665.66,Body Care,0
TXN000764,C0184,2025-08-16,525.52,Face Care,0
TXN001680,C0429,2026-06-06,1103.3,Baby Care,0
TXN001330,C0345,2025-09-28,837.36,Combos,0
TXN001333,C0346,2024-10-10,346.41,Hair Care,0
TXN001286,C0329,2025-11-08,1115.06,Baby Care,0
TXN000883,C0216,2024-08-18,544.37,Face Care,1
TXN000134,C0031,2025-11-30,753.41,Combos,0
TXN000512,C0129,2026-03-06,495.34,Face Care,1
TXN000510,C0129,2025-12-05,404.36,Body Care,0
TXN000551,C0141,2025-03-10,583.56,Face Care,0
TXN000943,C0236,2025-09-27,202.76,Hair Care,0
TXN001880,C0488,2025-12-16,226.05,Hair Care,0
TXN000723,C0174,2026-05-16,506.84,Body Care,0
TXN001718,C0442,2026-01-19,1019.39,Combos,0
TXN000554,C0141,2025-06-30,560.89,Baby Care,0
TXN000217,C0050,2025-03-12,469.78,Hair Care,0
TXN001215,C0309,2026-03-24,687.81,Body Care,0
TXN001773,C0460,2025-11-02,615.78,Hair Care,0
TXN000897,C0222,2026-05-31,423.88,Body Care,0
TXN001447,C0375,2026-01-16,1194.21,Baby Care,0
TXN000724,C0175,2026-05-10,350.02,Body Care,0
TXN000032,C0009,2025-08-07,344.99,Face Care,0
TXN000659,C0162,2026-01-31,363.41,Baby Care,0
TXN000301,C0075,2026-06-09,1181.49,Baby Care,0
TXN001608,C0412,2025-05-02,624.1,Baby Care,0
TXN000364,C0097,2024-12-13,912.42,Combos,0
TXN001038,C0258,2026-04-23,388.43,Baby Care,0
TXN001839,C0480,2025-08-03,416.66,Baby Care,0
TXN000116,C0028,2025-11-10,461.88,Hair Care,0
TXN000470,C0117,2025-02-13,427.15,Hair Care,0
TXN000270,C0068,2025-02-16,771.52,Hair Care,0
TXN001364,C0355,2025-06-08,780.71,Baby Care,0
TXN000606,C0154,2026-03-08,622.48,Combos,0
TXN000274,C0068,2025-06-30,427.48,Body Care,0
TXN001111,C0278,2024-10-20,614.81,Baby Care,0
TXN000548,C0140,2026-05-03,1013.76,Baby Care,0
TXN001908,C0499,2026-06-11,750.61,Hair Care,0
TXN001024,C0256,2025-04-24,796.68,Face Care,0
TXN000532,C0134,2025-01-31,854.14,Face Care,0
TXN001500,C0389,2025-01-26,859.88,Baby Care,0
TXN000705,C0171,2026-02-11,330.41,Hair Care,0
TXN000520,C0130,2026-06-26,525.35,Face Care,0
TXN000421,C0105,2025-02-19,393.19,Face Care,0
TXN001733,C0449,2025-09-30,1015.11,Combos,0
TXN001428,C0370,2025-05-26,565.03,Hair Care,0
TXN000410,C0104,2024-09-12,772.49,Face Care,0
TXN001528,C0394,2026-06-04,1185.32,Baby Care,0
TXN001348,C0349,2024-12-07,335.0,Body Care,0
TXN000207,C0049,2025-01-11,691.21,Hair Care,0
TXN001863,C0485,2026-05-18,343.23,Hair Care,0
TXN001899,C0497,2025-06-06,863.05,Body Care,0
TXN001296,C0332,2026-02-16,573.27,Hair Care,0
TXN001175,C0293,2026-06-12,364.64,Hair Care,0
TXN000038,C0010,2024-12-23,348.68,Body Care,0
TXN001742,C0451,2025-03-11,567.31,Body Care,0
TXN001247,C0318,2025-12-17,205.17,Hair Care,0
TXN000423,C0106,2026-04-09,722.19,Baby Care,0
TXN001166,C0288,2025-10-13,575.42,Body Care,0
TXN000413,C0104,2024-12-21,950.38,Body Care,0
TXN001218,C0310,2025-09-04,408.84,Face Care,0
TXN000462,C0115,2025-10-12,1342.03,Combos,0
TXN001628,C0417,2026-06-17,392.41,Body Care,0
TXN001425,C0369,2025-07-08,377.95,Hair Care,0
TXN000877,C0214,2025-08-28,365.92,Face Care,0
TXN001026,C0256,2025-07-18,782.0,Face Care,0
TXN001201,C0305,2025-12-31,718.14,Face Care,0
TXN000770,C0185,2026-06-25,744.73,Hair Care,0
TXN001575,C0404,2026-01-14,207.28,Hair Care,1
TXN000675,C0166,2026-06-14,480.51,Face Care,1
TXN001051,C0263,2025-03-04,749.36,Baby Care,0
TXN001673,C0428,2025-05-13,1280.86,Baby Care,0
TXN000811,C0196,2025-08-23,271.63,Hair Care,0
TXN001859,C0484,2026-05-25,340.01,Face Care,0
TXN001443,C0375,2025-08-07,921.33,Combos,0
TXN001600,C0411,2026-06-27,281.95,Face Care,0
TXN000334,C0087,2026-01-21,617.28,Hair Care,0
TXN001510,C0390,2026-01-13,1087.71,Combos,1
TXN001580,C0405,2025-12-19,810.42,Body Care,0
TXN000309,C0077,2025-08-17,391.07,Hair Care,0
TXN001840,C0481,2025-08-31,642.14,Body Care,1
TXN001270,C0325,2025-09-24,813.43,Face Care,0
TXN001848,C0482,2026-01-07,1359.74,Combos,0
TXN000803,C0196,2024-11-01,356.23,Face Care,0
TXN001237,C0316,2025-09-15,1085.77,Baby Care,0
TXN000780,C0188,2025-03-18,941.28,Body Care,0
TXN001864,C0485,2026-06-18,811.28,Baby Care,0
TXN001687,C0432,2025-08-21,337.86,Face Care,0
TXN000970,C0242,2024-12-31,754.27,Hair Care,0
TXN001644,C0420,2024-09-02,944.89,Body Care,0
TXN001667,C0425,2026-05-31,895.69,Body Care,0
TXN000800,C0195,2026-04-21,321.07,Body Care,0
TXN001442,C0375,2025-06-20,551.79,Hair Care,0
TXN000993,C0246,2025-01-12,569.49,Hair Care,0
TXN000456,C0113,2026-03-12,641.18,Hair Care,0
TXN001137,C0285,2025-02-16,804.01,Body Care,0
TXN000763,C0184,2025-07-16,238.43,Hair Care,0
TXN000237,C0057,2025-09-24,1129.28,Baby Care,0
TXN000228,C0055,2024-12-19,589.4,Baby Care,0
TXN001406,C0363,2025-02-17,500.14,Face Care,0
TXN001458,C0379,2026-06-21,993.99,Body Care,0
TXN000189,C0045,2025-12-16,366.5,Body Care,0
TXN001186,C0298,2026-04-18,806.16,Face Care,0
TXN001047,C0262,2025-09-20,426.47,Hair Care,0
TXN000154,C0039,2024-09-15,585.67,Face Care,0
TXN001532,C0397,2025-10-24,653.66,Hair Care,0
TXN000318,C0079,2025-09-22,1088.54,Baby Care,0
TXN001623,C0417,2025-12-24,975.83,Baby Care,0
TXN001709,C0437,2026-06-01,664.3,Body Care,0
TXN001744,C0452,2025-05-28,309.51,Hair Care,0
TXN001142,C0285,2025-08-14,770.86,Hair Care,0
TXN001236,C0316,2025-08-17,1199.42,Combos,0
TXN000172,C0042,2024-11-03,956.6,Combos,0
TXN001707,C0437,2026-03-11,607.03,Hair Care,0
TXN001549,C0401,2025-09-07,709.19,Hair Care,0
TXN001869,C0486,2025-01-29,331.97,Hair Care,0
TXN001866,C0486,2024-10-09,833.58,Baby Care,0
TXN000945,C0237,2025-09-13,937.67,Body Care,0
TXN001828,C0477,2025-07-01,1177.6,Combos,0
TXN001900,C0497,2025-07-12,713.09,Baby Care,0
TXN000422,C0105,2025-03-23,330.05,Face Care,0
TXN000152,C0038,2024-10-07,739.5,Hair Care,0
TXN000001,C0001,2025-07-29,659.29,Body Care,0
TXN001013,C0254,2026-04-26,690.64,Body Care,0
TXN000105,C0025,2025-03-10,348.72,Body Care,0
TXN000303,C0076,2026-05-19,700.93,Face Care,0
TXN001317,C0344,2025-03-29,927.28,Baby Care,0
TXN000091,C0022,2025-10-12,318.73,Body Care,0
TXN001801,C0467,2025-03-19,243.81,Hair Care,0
TXN001029,C0257,2025-02-01,1093.81,Baby Care,0
TXN000529,C0134,2024-10-18,319.43,Face Care,0
TXN000155,C0039,2024-10-09,743.8,Hair Care,0
TXN000461,C0114,2026-03-31,394.08,Baby Care,0
TXN000555,C0141,2025-08-11,987.43,Baby Care,0
TXN000148,C0036,2026-02-05,1185.39,Baby Care,0
TXN001890,C0493,2025-08-05,648.71,Face Care,0
TXN000072,C0016,2025-04-30,843.5,Body Care,0
TXN000085,C0021,2026-03-08,814.18,Face Care,0
TXN000926,C0233,2025-12-18,475.09,Face Care,0
TXN001192,C0303,2026-01-06,287.22,Body Care,0
TXN001354,C0351,2025-02-26,556.7,Face Care,0
TXN001860,C0484,2026-06-27,486.35,Hair Care,0
TXN001656,C0423,2025-06-13,547.95,Body Care,0
TXN000610,C0155,2026-06-01,306.82,Face Care,0
TXN001551,C0401,2025-11-30,558.08,Baby Care,0
TXN001699,C0435,2025-07-21,464.85,Body Care,0
TXN001417,C0368,2026-03-25,523.94,Face Care,0
TXN000503,C0124,2025-12-31,1147.84,Combos,0
TXN001561,C0403,2025-10-16,425.84,Baby Care,0
TXN001852,C0482,2026-06-05,996.88,Combos,0
TXN001833,C0479,2025-03-11,494.06,Body Care,0
TXN001582,C0405,2026-02-27,1561.12,Combos,0
TXN000279,C0071,2024-12-28,470.04,Hair Care,0
TXN001496,C0388,2026-02-08,993.3,Body Care,1
TXN000196,C0046,2025-07-18,706.57,Body Care,0
TXN000616,C0158,2025-11-02,734.9,Face Care,1
TXN000069,C0015,2025-11-30,841.1,Face Care,0
TXN001805,C0468,2025-02-27,1485.4,Combos,0
TXN000206,C0049,2024-12-12,,Combos,0
TXN000919,C0231,2025-03-11,308.81,Hair Care,0
TXN000336,C0088,2026-05-15,1279.84,Combos,0
TXN001352,C0351,2024-12-16,892.99,Body Care,0
TXN001023,C0256,2025-03-07,1052.09,Combos,0
TXN000324,C0082,2025-02-06,1522.8,Combos,0
TXN001424,C0369,2025-05-19,301.79,Face Care,1
TXN000580,C0148,2025-09-09,532.34,Face Care,0
TXN000685,C0168,2025-10-17,838.77,Face Care,0
TXN000060,C0015,2024-12-30,333.42,Face Care,0
TXN000443,C0111,2026-01-16,324.13,Body Care,0
TXN001895,C0495,2026-05-15,676.84,Combos,0
TXN001546,C0401,2025-06-05,884.67,Body Care,0
TXN000041,C0010,2025-03-28,905.64,Body Care,0
TXN001132,C0284,2025-05-23,,Hair Care,0
TXN000729,C0177,2025-12-08,633.61,Hair Care,0
TXN000775,C0188,2024-09-16,704.35,Body Care,0
TXN000096,C0024,2025-06-06,641.72,Hair Care,0
TXN001198,C0304,2025-07-07,405.46,Face Care,0
TXN000721,C0174,2025-07-26,599.5,Baby Care,1
TXN000200,C0048,2025-10-15,682.57,Hair Care,0
TXN000174,C0042,2025-01-05,960.32,Baby Care,0
TXN000982,C0244,2025-02-20,269.1,Hair Care,0
TXN000203,C0048,2026-01-19,494.55,Hair Care,0
TXN001020,C0256,2024-10-23,985.8,Combos,0
TXN000073,C0016,2025-12-23,299.51,Hair Care,0
TXN000242,C0058,2026-03-28,375.66,Hair Care,0
TXN001637,C0418,2026-01-06,1582.77,Combos,0
TXN001167,C0289,2026-05-25,680.84,Baby Care,1
TXN000776,C0188,2024-10-27,696.86,Hair Care,0
TXN001211,C0308,2025-11-14,367.34,Face Care,0
TXN001121,C0282,2026-01-04,467.68,Body Care,0
TXN001472,C0382,2026-02-04,372.42,Face Care,0
TXN000540,C0138,2025-05-10,502.9,Body Care,0
TXN000710,C0172,2025-05-12,591.69,Body Care,0
TXN001178,C0294,2026-04-14,415.96,Hair Care,1
TXN000638,C0160,2025-05-19,368.59,Body Care,0
TXN000525,C0131,2026-03-01,570.14,Body Care,0
TXN000057,C0015,2024-10-04,972.82,Combos,0
TXN001456,C0378,2025-05-25,377.11,Hair Care,1
TXN000510,C0129,2025-12-05,404.36,Body Care,0
TXN000849,C0206,2025-11-12,758.67,Hair Care,0
TXN000004,C0002,2025-07-14,857.77,Body Care,0
TXN000547,C0140,2026-03-31,1618.25,Combos,0
TXN000691,C0168,2026-05-18,1081.86,Combos,0
TXN001857,C0484,2026-03-17,302.95,Face Care,0
TXN000054,C0012,2025-04-18,428.23,Body Care,1
TXN001064,C0265,2026-06-16,420.14,Face Care,0
TXN001440,C0374,2025-09-16,561.71,Body Care,0
TXN001706,C0437,2026-02-10,685.78,Hair Care,0
TXN000640,C0160,2025-07-18,276.63,Face Care,0
TXN001452,C0376,2025-10-21,814.96,Face Care,0
TXN001090,C0271,2025-08-10,372.77,Hair Care,0
TXN001301,C0334,2025-12-26,483.79,Body Care,0
TXN000626,C0159,2025-08-12,706.44,Combos,0
TXN001544,C0400,2025-11-15,1242.36,Combos,0
TXN000124,C0030,2024-10-17,437.38,Body Care,0
TXN000223,C0052,2025-06-22,713.89,Combos,0
TXN000614,C0158,2025-08-17,1082.34,Combos,1
TXN000630,C0159,2026-01-01,823.02,Baby Care,0
TXN001798,C0465,2025-05-13,511.73,Face Care,0
TXN000243,C0058,2026-05-04,1326.8,Combos,0
TXN001095,C0272,2025-11-30,1034.79,Combos,0
TXN000431,C0109,2025-10-01,638.63,Combos,0
TXN000358,C0094,2026-05-23,448.22,Hair Care,0
TXN001786,C0463,2025-04-07,330.07,Hair Care,0
TXN001299,C0332,2026-06-12,1898.77,Combos,0
TXN001712,C0439,2026-03-02,361.67,Baby Care,0
TXN000514,C0129,2026-06-02,477.93,Baby Care,0
TXN001905,C0499,2026-02-08,870.3,Combos,0
TXN000022,C0006,2025-07-22,965.06,Baby Care,0
TXN000783,C0189,2025-10-16,978.65,Combos,0
TXN000969,C0242,2024-12-06,608.67,Face Care,0
TXN001560,C0403,2025-09-13,497.55,Body Care,0
TXN000220,C0051,2025-01-17,570.5,Body Care,0
TXN001400,C0361,2025-07-10,773.58,Hair Care,0
TXN001870,C0487,2025-05-08,707.99,Hair Care,0
TXN000157,C0039,2024-11-22,560.14,Baby Care,0
TXN001392,C0360,2025-06-05,510.44,Face Care,0
TXN000913,C0229,2025-07-25,701.3,Hair Care,0
TXN001885,C0489,2025-08-25,583.18,Face Care,0
TXN000765,C0184,2025-09-28,749.01,Face Care,0
TXN000513,C0129,2026-04-20,990.47,Combos,0
TXN001898,C0497,2025-05-13,599.45,Face Care,0
TXN000195,C0046,2025-06-19,830.99,Combos,0
TXN000378,C0098,2025-09-12,251.02,Body Care,0
TXN000657,C0162,2025-11-17,753.07,Combos,0
TXN000246,C0059,2025-07-04,511.0,Hair Care,0
TXN001523,C0394,2025-11-10,960.59,Baby Care,0
TXN000480,C0119,2025-08-12,1134.09,Baby Care,0
TXN001873,C0487,2025-09-08,716.84,Combos,0
TXN001195,C0304,2025-03-12,262.02,Hair Care,0
TXN001454,C0376,2025-12-31,451.31,Baby Care,0
TXN000452,C0113,2025-11-04,777.88,Face Care,0
TXN001663,C0425,2025-12-21,552.69,Hair Care,0
TXN000837,C0202,2026-04-14,560.3,Face Care,0
TXN000983,C0244,2025-03-30,351.7,Body Care,0
TXN000772,C0186,2025-02-01,662.59,Baby Care,0
TXN001150,C0286,2025-03-28,775.57,Face Care,0
TXN001131,C0284,2025-04-14,674.97,Hair Care,0
TXN001800,C0466,2025-01-25,601.36,Baby Care,0
TXN000494,C0121,2025-08-16,840.51,Face Care,0
TXN001877,C0488,2025-09-25,414.97,Body Care,0
TXN000818,C0198,2025-08-01,613.73,Baby Care,0
TXN001334,C0346,2024-11-22,555.41,Hair Care,0
TXN000999,C0249,2025-05-11,737.36,Baby Care,0
TXN000584,C0148,2026-01-30,1662.33,Combos,0
TXN001077,C0269,2026-02-09,259.44,Body Care,0
TXN001072,C0268,2025-09-23,1846.81,Combos,0
TXN001810,C0470,2024-08-25,389.64,Body Care,0
TXN000375,C0097,2026-02-21,295.94,Hair Care,0
TXN000468,C0117,2024-12-03,599.41,Face Care,0
TXN000622,C0159,2025-03-19,1320.93,Combos,0
TXN000857,C0207,2025-10-30,445.36,Face Care,0
TXN001325,C0344,2026-01-10,822.34,Combos,0
TXN000735,C0178,2025-11-10,269.99,Body Care,0
TXN000762,C0183,2026-03-24,1454.77,Combos,1
TXN001490,C0388,2025-06-16,1301.63,Combos,0
TXN001313,C0343,2025-02-25,259.22,Hair Care,0
TXN001562,C0403,2025-11-24,735.42,Baby Care,0
TXN000186,C0044,2025-05-13,726.67,Hair Care,0
TXN001285,C0329,2025-10-01,543.22,Face Care,1
TXN000518,C0130,2026-04-09,1759.2,Combos,0
TXN000337,C0089,2026-01-26,428.78,Baby Care,0
TXN000460,C0114,2025-11-13,262.41,Hair Care,0
TXN000121,C0029,2025-08-23,1711.61,Combos,0
TXN000952,C0238,2025-04-03,745.6,Face Care,0
TXN001362,C0353,2024-08-18,378.72,Body Care,0
TXN001342,C0347,2025-08-09,854.65,Face Care,0
TXN000082,C0019,2025-11-24,616.54,Hair Care,0
TXN000495,C0121,2025-10-04,794.59,Baby Care,0
TXN000280,C0071,2025-02-03,649.64,Body Care,0
TXN000437,C0109,2026-05-24,1478.28,Combos,0
TXN000888,C0218,2025-02-26,285.61,Hair Care,0
TXN001825,C0476,2026-03-12,681.78,Baby Care,1
TXN001550,C0401,2025-10-24,408.53,Body Care,0
TXN001434,C0371,2025-10-16,997.56,Body Care,0
TXN000448,C0113,2025-05-14,454.83,Face Care,0
TXN001086,C0271,2025-04-11,285.52,Hair Care,0
TXN001136,C0284,2025-10-03,610.31,Hair Care,0
TXN001809,C0470,2024-07-27,606.33,Body Care,0
TXN000593,C0151,2025-12-06,457.97,Hair Care,0
TXN001042,C0259,2026-01-02,762.35,Combos,0
TXN000681,C0168,2025-05-29,466.49,Baby Care,1
TXN000727,C0177,2025-09-08,595.97,Face Care,0
TXN000935,C0234,2026-02-22,924.1,Body Care,0
TXN001693,C0433,2025-09-25,1062.76,Combos,0
TXN001284,C0328,2025-07-22,654.9,Baby Care,0
TXN000690,C0168,2026-04-17,530.93,Face Care,0
TXN001493,C0388,2025-10-24,348.11,Body Care,0
TXN000039,C0010,2025-01-30,1257.07,Baby Care,0
TXN001467,C0380,2026-06-01,488.3,Hair Care,0
TXN001255,C0320,2025-02-12,1142.56,Combos,0
TXN001886,C0489,2025-09-28,721.61,Face Care,0
TXN001098,C0272,2026-04-11,329.03,Baby Care,0
TXN001660,C0425,2025-09-12,688.29,Hair Care,1
TXN001704,C0437,2025-12-14,991.46,Body Care,0
TXN001669,C0427,2024-11-15,259.09,Hair Care,0
TXN001174,C0293,2026-05-14,950.21,Body Care,0
TXN001103,C0274,2025-01-23,1169.14,Baby Care,0
TXN000852,C0206,2026-02-26,627.33,Body Care,0
TXN001741,C0450,2026-06-12,415.46,Face Care,0
TXN001259,C0321,2026-01-22,697.7,Hair Care,0
TXN001096,C0272,2026-01-19,790.08,Body Care,0
TXN000741,C0179,2024-09-29,584.55,Baby Care,1
TXN000179,C0042,2025-08-22,274.46,Hair Care,0
TXN000560,C0142,2026-03-18,678.2,Combos,0
TXN000236,C0056,2026-03-31,1517.01,Combos,0
TXN001784,C0463,2025-01-17,787.95,Body Care,0
TXN001665,C0425,2026-03-01,906.47,Baby Care,0
TXN001315,C0344,2025-01-08,703.1,Body Care,0
TXN001689,C0432,2025-10-26,389.47,Baby Care,0
TXN000106,C0025,2025-04-17,672.7,Face Care,0
TXN001621,C0417,2025-10-17,812.84,Body Care,0
TXN001208,C0308,2025-08-10,1741.85,Combos,0
TXN000905,C0227,2025-07-02,1267.68,Combos,0
TXN000310,C0077,2025-10-04,762.84,Face Care,0
TXN000786,C0190,2025-11-12,834.14,Face Care,0
TXN001001,C0249,2025-08-03,989.36,Combos,0
TXN000535,C0136,2025-12-24,995.43,Baby Care,0
TXN001209,C0308,2025-09-12,616.81,Body Care,0
TXN000333,C0086,2026-02-06,678.28,Hair Care,0
TXN001261,C0321,2026-04-01,307.16,Hair Care,0
TXN000587,C0149,2024-09-25,1332.98,Combos,0
TXN000915,C0229,2025-10-09,1223.57,Combos,0
TXN000737,C0178,2026-01-13,550.03,Body Care,0
TXN001576,C0404,2026-02-14,1460.07,Combos,0
TXN001275,C0326,2025-01-06,368.93,Body Care,0
TXN001241,C0316,2026-02-20,647.67,Body Care,0
TXN000162,C0040,2025-10-23,809.88,Face Care,0
TXN000609,C0154,2026-06-19,500.86,Hair Care,0
TXN001355,C0351,2025-04-09,263.83,Body Care,0
TXN000029,C0008,2026-04-24,518.06,Body Care,0
TXN000451,C0113,2025-09-19,587.82,Hair Care,0
