listing_id,locality_name,bhk,sqft,floor,total_floors,furnishing,rent
L00024,Bannerghatta Road,2,1019,12,16,Fully-Furnished,24k
L00163,Sarjapur Road,2,943,9,15,Unfurnished,21486
L00425,Electronic City,4,1889,1,6,Semi-Furnished,41581
L00709,Bannerghatta Road,3,1322,2,4,Unfurnished,"₹24,663"
L00118,Malleshwaram,2,1034,12,12,Semi-Furnished,"₹31,297"
L00359,Sarjapur Road,1,538,8,15,Fully-Furnished,16k
L00495,Yelahanka,1,619,15,15,Semi-Furnished,11216
L00153,Rajajinagar,1,643,7,17,Fully-Furnished,19323
L00653,Rajajinagar,1,742,12,15,Unfurnished,16765
L00406,Bannerghatta Road,1,,5,13,Fully-Furnished,16346
L00416,Rajajinagar,1,557,2,14,Fully-Furnished,16401
L00200,Indiranagar,3,1368,8,14,Semi-Furnished,50971
L00007,Rajajinagar,1,523,2,5,Fully-Furnished,15684
L00121,Yelahanka,1,552,2,3,Fully-Furnished,12144
L00058,Rajajinagar,2,1127,8,8,Fully-Furnished,36267
L00498,Sarjapur Road,4,2332,7,10,Unfurnished,60241
L00600,Sarjapur Road,2,1150,5,16,Fully-Furnished,37011
L00486,Electronic City,3,1513,7,16,Unfurnished,25945
L00091,Yelahanka,2,1203,7,9,Fully-Furnished,26730
L00051,Malleshwaram,3,1619,0,5,Fully-Furnished,59534
L00682,Rajajinagar,1,740,1,10,Fully-Furnished,23k
L00057,Yelahanka,3,1453,6,6,Semi-Furnished,29071/-
L00796,Rajajinagar,2,947,6,15,Fully-Furnished,29702
L00175,Rajajinagar,3,1406,1,4,Unfurnished,"₹33,142"
L00473,Whitefield,2,1097,8,8,Semi-Furnished,33625
L00602,JP Nagar,2,1222,9,11,Fully-Furnished,34327
L00485,Indiranagar,3,1683,3,3,Unfurnished,60814
L00528,Electronic City,4,,7,10,Semi-Furnished,46878
L00307,BTM Layout,3,1326,0,3,Semi-Furnished,33418
L00480,Electronic City,3,1672,14,18,Unfurnished,28798
L00645,Indiranagar,2,883,3,4,Fully-Furnished,37335
L00464,Malleshwaram,2,857,5,16,Semi-Furnished,28655
L00364,Bannerghatta Road,2,1110,2,5,Semi-Furnished,25k
L00661,Yelahanka,1,631,6,7,Semi-Furnished,13238
L00026,BTM Layout,2,1206,1,10,Unfurnished,28233
L00764,Hebbal,2,1168,5,9,Semi-Furnished,314440
L00589,Marathahalli,3,1530,6,8,Fully-Furnished,"₹48,945"
L00404,Jayanagar,1,600,6,13,Fully-Furnished,18299
L00021,Electronic City,3,1711,1,3,Fully-Furnished,45021
L00543,Koramangala,2,1124,2,3,Fully-Furnished,51266
L00004,Sarjapur Road,4,1893,0,4,Unfurnished,49k
L00604,Yelahanka,1,693,2,3,Fully-Furnished,16277
L00299,Indiranagar,3,1688,7,13,Semi-Furnished,69824
L00384,BTM Layout,1,680,7,7,Fully-Furnished,22564
L00552,Jayanagar,2,919,3,4,Unfurnished,22961
L00156,Whitefield,2,1025,9,12,Semi-Furnished,30249/-
L00627,Yelahanka,1,685,10,11,Fully-Furnished,15515
L00003,Koramangala,2,1026,3,8,Fully-Furnished,40419
L00408,Marathahalli,1,605,2,3,Unfurnished,"₹13,902"
L00677,Marathahalli,4,2144,4,10,Semi-Furnished,58299
L00275,Whitefield,1,742,2,7,Fully-Furnished,23846
L00714,Whitefield,3,1356,7,12,Unfurnished,39227/-
L00425,Electronic City,4,1889,1,6,Semi-Furnished,41581
L00637,Koramangala,3,1605,1,13,Semi-Furnished,56074
L00491,Sarjapur Road,1,578,12,13,Unfurnished,14k
L00298,JP Nagar,2,1156,0,5,Fully-Furnished,33158
L00417,Sarjapur Road,4,2264,1,8,Semi-Furnished,"₹62,030"
L00060,JP Nagar,2,1163,10,11,Fully-Furnished,33515
L00305,BTM Layout,4,2025,8,9,Fully-Furnished,61768
L00681,Electronic City,2,931,5,5,Fully-Furnished,22839
L00525,BTM Layout,4,2107,7,11,Unfurnished,52345
L00155,Bannerghatta Road,2,1238,14,16,Semi-Furnished,25911
L00791,Rajajinagar,3,1555,4,18,Unfurnished,33800
L00572,Hebbal,4,2438,4,10,Fully-Furnished,65699/-
L00221,Koramangala,4,2025,1,11,Semi-Furnished,67713
L00794,Marathahalli,3,1523,9,9,Unfurnished,38268
L00174,Whitefield,3,1722,1,6,Unfurnished,41187
L00378,Marathahalli,4,2041,0,11,Unfurnished,55734
L00432,Whitefield,3,1741,15,15,Unfurnished,50597
L00186,Koramangala,2,998,0,7,Semi-Furnished,37105
L00496,Yelahanka,2,862,2,4,Unfurnished,14900
L00373,Sarjapur Road,2,902,1,7,Semi-Furnished,23852
L00018,Jayanagar,1,,1,17,Fully-Furnished,16944/-
L00446,Koramangala,1,696,4,6,Semi-Furnished,26762
L00256,Marathahalli,2,1102,7,17,Fully-Furnished,38975
L00112,Yelahanka,2,1152,3,13,Unfurnished,20111
L00782,Yelahanka,2,1007,16,16,Fully-Furnished,24788
L00130,Marathahalli,1,629,3,13,Semi-Furnished,18k
L00731,BTM Layout,2,1041,2,4,Fully-Furnished,29261
L00613,Hebbal,1,500,3,15,Semi-Furnished,13299
L00592,Indiranagar,4,1933,2,6,Fully-Furnished,85553
L00768,Marathahalli,3,1749,6,8,Unfurnished,42328
L00652,Bannerghatta Road,3,1379,1,16,Unfurnished,29153/-
L00712,Whitefield,1,741,3,3,Semi-Furnished,22794
L00346,JP Nagar,1,626,5,5,Fully-Furnished,20k
L00569,Bannerghatta Road,2,867,2,3,Fully-Furnished,23839
L00181,Koramangala,2,977,14,14,Unfurnished,31042
L00489,Malleshwaram,2,1024,10,15,Semi-Furnished,29226
L00438,Electronic City,3,1347,2,4,Fully-Furnished,34189
L00100,Indiranagar,2,,4,4,Fully-Furnished,44296
L00261,Hebbal,3,1665,10,10,Unfurnished,"₹41,369"
L00332,Jayanagar,1,684,2,5,Fully-Furnished,21k
L00393,Hebbal,2,,5,5,Unfurnished,23179/-
L00329,Hebbal,3,1331,10,11,Semi-Furnished,30424
L00296,Koramangala,3,1521,2,5,Unfurnished,46620
L00427,BTM Layout,2,894,7,8,Unfurnished,"₹20,505"
L00122,BTM Layout,2,1152,6,8,Unfurnished,"₹26,026"
L00436,Jayanagar,3,1476,3,4,Semi-Furnished,42064
L00237,Marathahalli,1,748,5,14,Fully-Furnished,23714
L00092,Marathahalli,3,1341,6,11,Fully-Furnished,40k
L00776,Electronic City,2,1155,2,5,Semi-Furnished,25209
L00076,Koramangala,2,1210,1,7,Fully-Furnished,53671
L00749,Hebbal,2,913,5,8,Unfurnished,21838
L00093,Whitefield,1,582,0,11,Unfurnished,14203
L00418,HSR Layout,1,713,7,14,Semi-Furnished,23925
L00116,Indiranagar,2,993,4,4,Semi-Furnished,39044
L00392,Marathahalli,2,868,2,13,Unfurnished,20747
L00023,Jayanagar,4,2208,0,13,Fully-Furnished,75841
L00472,Rajajinagar,2,975,11,13,Semi-Furnished,27356
L00128,Indiranagar,3,1716,3,3,Fully-Furnished,81829
L00297,JP Nagar,4,2102,9,14,Unfurnished,45745
L00733,BTM Layout,2,1130,3,9,Fully-Furnished,35607
L00785,Sarjapur Road,1,529,0,3,Unfurnished,11881
L00280,JP Nagar,2,1200,0,3,Semi-Furnished,34k
L00545,Hebbal,1,708,1,7,Unfurnished,15349
L00375,Rajajinagar,2,1092,1,8,Semi-Furnished,28639
L00273,Whitefield,3,1517,5,7,Semi-Furnished,48684
L00284,BTM Layout,3,1372,0,3,Semi-Furnished,38024
L00044,BTM Layout,3,1728,0,4,Fully-Furnished,51034
L00526,Rajajinagar,1,697,2,13,Fully-Furnished,23k
L00506,Whitefield,2,1192,6,8,Semi-Furnished,31751
L00793,Hebbal,3,1552,4,7,Semi-Furnished,"₹41,491"
L00267,Yelahanka,4,1970,16,18,Semi-Furnished,41k
L00595,Yelahanka,1,579,6,9,Fully-Furnished,12955
L00657,Bannerghatta Road,1,677,4,15,Unfurnished,13105
L00713,BTM Layout,1,652,2,7,Unfurnished,15301
L00520,Indiranagar,2,1004,12,16,Fully-Furnished,47k
L00190,Marathahalli,3,1500,3,6,Unfurnished,"₹38,215"
L00487,Hebbal,4,2327,4,10,Fully-Furnished,64352/-
L00798,Yelahanka,1,633,9,14,Unfurnished,"₹10,208"
L00736,Malleshwaram,4,,0,14,Fully-Furnished,73895
L00232,Marathahalli,2,1116,14,15,Fully-Furnished,34500
L00306,Malleshwaram,1,593,3,15,Fully-Furnished,22151
L00279,HSR Layout,2,1207,6,16,Fully-Furnished,43k
L00760,Jayanagar,1,658,8,11,Unfurnished,18222
L00398,Yelahanka,3,1545,5,10,Semi-Furnished,28304
L00169,Indiranagar,2,1082,2,16,Fully-Furnished,45264/-
L00149,Indiranagar,1,643,5,7,Unfurnished,20730
L00748,Whitefield,2,1164,10,13,Fully-Furnished,37835
L00226,JP Nagar,3,1541,0,11,Semi-Furnished,42k
L00224,Bannerghatta Road,2,874,14,15,Unfurnished,16901
L00455,Marathahalli,2,1029,2,11,Fully-Furnished,32459
L00771,Whitefield,2,1046,4,4,Semi-Furnished,32802
L00669,Jayanagar,3,1531,15,18,Semi-Furnished,43860
L00316,Yelahanka,1,660,3,3,Fully-Furnished,14979
L00671,Hebbal,1,626,2,4,Semi-Furnished,17014
L00335,HSR Layout,2,1043,1,7,Unfurnished,32343
L00033,Sarjapur Road,2,1111,13,15,Semi-Furnished,28843
L00310,Yelahanka,3,1475,10,12,Unfurnished,24966
L00103,Rajajinagar,1,653,10,10,Semi-Furnished,18164
L00555,Whitefield,3,1303,3,6,Semi-Furnished,40423
L00654,Whitefield,2,1054,4,14,Unfurnished,30k
L00082,Koramangala,4,2074,1,3,Fully-Furnished,91465
L00230,Jayanagar,4,2206,1,10,Fully-Furnished,"₹79,605"
L00220,Malleshwaram,4,2473,4,7,Fully-Furnished,87352
L00743,Rajajinagar,2,1072,3,3,Semi-Furnished,26817
L00321,BTM Layout,3,1468,4,4,Unfurnished,36623
L00687,Whitefield,2,995,16,17,Unfurnished,27658
L00450,BTM Layout,1,696,1,5,Unfurnished,"₹16,330"
L00399,Malleshwaram,2,1179,0,4,Semi-Furnished,35083
L00471,Whitefield,1,569,8,12,Semi-Furnished,15356
L00616,Sarjapur Road,1,549,5,17,Semi-Furnished,14035
L00180,Malleshwaram,2,894,5,7,Unfurnished,24835
L00203,Yelahanka,1,744,13,14,Semi-Furnished,14k
L00277,Jayanagar,1,,12,14,Semi-Furnished,18065/-
L00037,Sarjapur Road,2,1095,11,11,Semi-Furnished,29561
L00451,Hebbal,2,1054,0,4,Semi-Furnished,25808
L00624,Malleshwaram,2,1051,11,11,Semi-Furnished,32489
L00253,Sarjapur Road,2,1244,1,5,Unfurnished,31k
L00663,Koramangala,2,1023,1,4,Unfurnished,"₹36,442"
L00481,JP Nagar,1,585,1,6,Unfurnished,14708
L00447,HSR Layout,3,1420,15,16,Fully-Furnished,53222
L00614,Hebbal,1,,2,5,Semi-Furnished,17000
L00542,Koramangala,2,1193,9,10,Semi-Furnished,"₹43,705"
L00233,Malleshwaram,2,989,8,11,Unfurnished,27236
L00466,HSR Layout,3,1679,11,18,Semi-Furnished,50068
L00797,Electronic City,1,726,2,4,Unfurnished,14135
L00551,Malleshwaram,3,1732,3,10,Unfurnished,44959
L00260,Electronic City,1,733,3,5,Semi-Furnished,15k
L00777,Hebbal,1,595,17,18,Unfurnished,13672
L00540,Koramangala,4,1894,8,14,Unfurnished,60617
L00630,Hebbal,1,604,9,15,Fully-Furnished,17591
L00246,Koramangala,2,967,7,13,Fully-Furnished,37445
L00199,Marathahalli,1,692,4,5,Unfurnished,18890
L00372,Indiranagar,2,1019,8,12,Unfurnished,36903
L00323,Marathahalli,4,2169,7,11,Semi-Furnished,56009/-
L00172,Hebbal,1,744,10,10,Fully-Furnished,21k
L00674,HSR Layout,3,1520,8,17,Fully-Furnished,58k
L00409,Whitefield,2,864,1,6,Fully-Furnished,31814
L00722,Malleshwaram,3,1469,1,18,Semi-Furnished,45984
L00209,Hebbal,3,1380,5,7,Unfurnished,310000
L00094,Indiranagar,1,630,12,18,Semi-Furnished,23665
L00789,Jayanagar,2,865,12,12,Unfurnished,23433
L00192,Hebbal,2,1054,6,8,Semi-Furnished,24k
L00322,Indiranagar,4,1952,0,4,Semi-Furnished,68083
L00521,Bannerghatta Road,1,579,12,12,Semi-Furnished,13679
L00474,Electronic City,1,553,1,4,Semi-Furnished,12508
L00615,Hebbal,2,1191,6,10,Semi-Furnished,28k
L00790,Yelahanka,3,1684,13,18,Fully-Furnished,37161
L00527,Rajajinagar,4,2366,7,9,Fully-Furnished,76702
L00740,Electronic City,1,619,0,4,Unfurnished,12857
L00688,Bannerghatta Road,3,1750,0,7,Fully-Furnished,42669
L00610,BTM Layout,3,1737,3,7,Unfurnished,42k
L00612,Indiranagar,2,943,6,9,Semi-Furnished,35641/-
L00278,Koramangala,2,861,2,12,Fully-Furnished,35825
L00274,JP Nagar,4,,3,8,Unfurnished,45k
L00675,Rajajinagar,3,1378,4,18,Fully-Furnished,42007
L00439,Sarjapur Road,3,,6,15,Unfurnished,38032
L00667,Malleshwaram,2,1034,12,14,Semi-Furnished,32493
L00574,Yelahanka,3,1443,3,3,Fully-Furnished,30720
L00185,Electronic City,3,,7,16,Semi-Furnished,32407
L00441,Whitefield,3,1330,3,3,Unfurnished,36896
L00738,Rajajinagar,3,1636,2,15,Unfurnished,39645
L00105,JP Nagar,3,1563,1,3,Fully-Furnished,45249
L00206,Sarjapur Road,2,1119,10,10,Unfurnished,24257
L00662,JP Nagar,1,592,10,14,Semi-Furnished,16332
L00053,JP Nagar,3,1735,8,9,Unfurnished,44534
L00702,HSR Layout,2,1038,3,16,Semi-Furnished,36513
L00006,Malleshwaram,1,695,4,4,Fully-Furnished,26703
L00554,BTM Layout,3,1324,5,12,Unfurnished,"₹30,706"
L00728,Indiranagar,2,925,6,6,Semi-Furnished,31543
L00385,Yelahanka,1,726,2,18,Fully-Furnished,16082
L00014,Electronic City,2,931,2,11,Fully-Furnished,20791
L00381,Electronic City,2,1000,7,18,Semi-Furnished,21919
L00778,Hebbal,1,521,5,6,Fully-Furnished,13899
L00686,Yelahanka,3,1420,16,17,Unfurnished,27271
L00475,Jayanagar,1,521,8,13,Fully-Furnished,16311
L00570,Koramangala,2,905,13,14,Unfurnished,28696/-
L00038,Whitefield,2,952,3,5,Semi-Furnished,30212
L00462,Rajajinagar,4,1833,0,6,Unfurnished,43108
L00106,Electronic City,3,1398,0,5,Semi-Furnished,28548
L00354,Rajajinagar,3,1300,3,4,Unfurnished,33084
L00617,BTM Layout,2,1074,4,8,Semi-Furnished,29257
L00162,Marathahalli,4,2444,0,4,Fully-Furnished,76054
L00071,Jayanagar,2,899,11,11,Semi-Furnished,27326
L00349,Marathahalli,1,675,3,14,Semi-Furnished,19551
L00693,Koramangala,3,1469,12,16,Semi-Furnished,55114
L00170,Bannerghatta Road,3,1462,10,11,Unfurnished,30738
L00463,Sarjapur Road,4,2046,8,11,Fully-Furnished,59481
L00547,JP Nagar,2,1028,4,15,Fully-Furnished,31126
L00383,Sarjapur Road,2,1186,10,16,Fully-Furnished,34k
L00518,JP Nagar,3,1636,6,17,Fully-Furnished,52092
L00571,Rajajinagar,1,550,1,5,Fully-Furnished,15543
L00080,Koramangala,2,874,9,17,Unfurnished,28589
L00770,HSR Layout,1,563,0,12,Semi-Furnished,"₹19,349"
L00295,Whitefield,1,732,12,14,Fully-Furnished,26684
L00717,JP Nagar,1,616,0,7,Fully-Furnished,17871
L00124,Hebbal,3,1508,6,7,Unfurnished,34181
L00139,Whitefield,3,,3,3,Unfurnished,37k
L00658,Whitefield,4,1857,4,14,Fully-Furnished,60122
L00705,Yelahanka,1,587,11,16,Fully-Furnished,12176
L00753,JP Nagar,3,1391,5,16,Unfurnished,30875
L00747,Electronic City,1,528,15,18,Semi-Furnished,11109
L00437,Jayanagar,1,519,6,15,Unfurnished,13443
L00643,Whitefield,2,979,9,14,Fully-Furnished,33684
L00339,Koramangala,4,1971,1,16,Semi-Furnished,68282
L00086,Sarjapur Road,3,1338,10,11,Fully-Furnished,38199
L00423,Bannerghatta Road,3,1384,7,14,Fully-Furnished,34347
L00673,Hebbal,2,1065,3,18,Unfurnished,23332
L00050,Malleshwaram,4,2448,7,7,Unfurnished,61725
L00191,Electronic City,3,1345,14,14,Semi-Furnished,30k
L00195,Whitefield,1,602,16,17,Fully-Furnished,20696
L00183,Koramangala,3,1500,7,16,Unfurnished,53649
L00136,Electronic City,2,1062,9,9,Fully-Furnished,26477
L00739,Indiranagar,4,2025,0,16,Fully-Furnished,906560
L00127,Whitefield,1,741,0,10,Unfurnished,18492
L00445,HSR Layout,2,1016,5,7,Fully-Furnished,40975
L00361,Rajajinagar,4,2044,7,17,Semi-Furnished,57518
L00148,Bannerghatta Road,1,610,15,18,Fully-Furnished,14558
L00403,Koramangala,2,1135,2,5,Fully-Furnished,46764
L00784,Hebbal,4,2226,4,12,Fully-Furnished,"₹66,306"
L00048,Bannerghatta Road,1,703,12,15,Fully-Furnished,18058
L00461,Malleshwaram,3,1530,1,3,Semi-Furnished,42688
L00780,Bannerghatta Road,2,1145,9,9,Unfurnished,220880
L00054,Electronic City,1,734,6,8,Unfurnished,13642
L00063,Whitefield,2,1087,3,17,Unfurnished,"₹29,705"
L00271,Malleshwaram,2,1100,12,13,Semi-Furnished,30949
L00470,Jayanagar,2,902,4,7,Fully-Furnished,31449
L00407,BTM Layout,3,1422,5,11,Fully-Furnished,46460
L00458,Indiranagar,1,501,0,5,Fully-Furnished,23762
L00745,JP Nagar,2,1223,9,17,Fully-Furnished,37641
L00724,Yelahanka,2,906,1,3,Fully-Furnished,18k
L00479,Malleshwaram,4,2017,11,13,Unfurnished,53017
L00419,Sarjapur Road,3,,12,18,Fully-Furnished,45075
L00414,JP Nagar,2,1163,5,14,Unfurnished,30020
L00074,Koramangala,2,1165,0,3,Unfurnished,37k
L00294,Electronic City,2,940,1,15,Unfurnished,16282
L00303,Rajajinagar,2,1166,0,10,Fully-Furnished,39152
L00257,Bannerghatta Road,2,1160,2,7,Unfurnished,24658
L00672,Hebbal,3,1513,8,17,Fully-Furnished,"₹46,876"
L00537,JP Nagar,2,963,3,9,Semi-Furnished,23725
L00227,Jayanagar,2,1166,0,17,Fully-Furnished,42912
L00716,Whitefield,2,1061,5,14,Fully-Furnished,32444
L00052,Jayanagar,3,1649,5,7,Fully-Furnished,50652
L00263,Malleshwaram,2,1014,2,8,Semi-Furnished,29264
L00629,Electronic City,1,558,3,9,Fully-Furnished,13566
L00590,Sarjapur Road,2,965,4,12,Fully-Furnished,30108
L00030,Sarjapur Road,2,975,4,8,Semi-Furnished,23722
L00711,Indiranagar,3,1479,3,16,Unfurnished,53352
L00534,BTM Layout,2,991,13,17,Fully-Furnished,"₹32,825"
L00580,Jayanagar,3,1376,4,13,Semi-Furnished,"₹42,460"
L00544,Malleshwaram,4,2371,0,14,Semi-Furnished,79138
L00308,Malleshwaram,3,1672,12,12,Semi-Furnished,49568
L00397,BTM Layout,1,637,3,10,Semi-Furnished,17411
L00557,Sarjapur Road,3,1730,4,10,Semi-Furnished,46606
L00755,Bannerghatta Road,2,1081,9,10,Unfurnished,"₹23,103"
L00625,Malleshwaram,2,985,2,17,Semi-Furnished,29450
L00290,Bannerghatta Road,2,931,2,10,Unfurnished,19372
L00272,Jayanagar,2,893,0,5,Semi-Furnished,27175
L00217,JP Nagar,1,741,0,5,Fully-Furnished,20544/-
L00203,Yelahanka,1,744,13,14,Semi-Furnished,14k
L00631,Jayanagar,1,553,2,4,Unfurnished,14199
L00158,Hebbal,4,1848,4,10,Fully-Furnished,55132
L00783,Koramangala,3,1375,5,17,Fully-Furnished,53236
L00126,BTM Layout,1,669,3,4,Fully-Furnished,22375
L00553,BTM Layout,2,1202,6,6,Unfurnished,30971
L00015,HSR Layout,1,521,11,18,Fully-Furnished,18915
L00734,Marathahalli,2,864,11,11,Semi-Furnished,21982
L00683,Electronic City,4,2359,10,14,Fully-Furnished,"₹51,551"
L00338,Rajajinagar,1,602,2,9,Unfurnished,14968
L00147,Marathahalli,3,,8,13,Fully-Furnished,46566
L00775,Rajajinagar,2,912,3,9,Fully-Furnished,26208
L00659,Sarjapur Road,3,1607,6,17,Fully-Furnished,52219
L00377,Yelahanka,2,1151,15,17,Semi-Furnished,21627
L00168,Whitefield,2,,1,4,Unfurnished,23k
L00081,Malleshwaram,3,1415,7,13,Fully-Furnished,52845
L00607,Whitefield,3,1509,6,9,Semi-Furnished,45041
L00119,Hebbal,2,1007,11,17,Semi-Furnished,26258
L00444,Electronic City,2,1169,3,8,Semi-Furnished,23739
L00239,Yelahanka,1,554,5,10,Unfurnished,10568
L00594,HSR Layout,1,,4,13,Fully-Furnished,24281
L00456,Rajajinagar,3,,7,10,Semi-Furnished,41459
L00061,Electronic City,2,1102,2,6,Semi-Furnished,245340
L00009,Jayanagar,2,1193,0,6,Fully-Furnished,44367
L00059,Jayanagar,2,,11,16,Semi-Furnished,33438
L00387,Malleshwaram,1,731,17,18,Unfurnished,21909
L00606,Yelahanka,3,1593,2,11,Unfurnished,28790
L00213,Malleshwaram,1,648,7,7,Fully-Furnished,23197
L00281,Electronic City,3,,2,7,Semi-Furnished,37557
L00641,Jayanagar,2,1237,1,18,Semi-Furnished,33351
L00623,Jayanagar,1,597,2,9,Semi-Furnished,17185
L00533,Malleshwaram,2,1168,6,12,Semi-Furnished,32382
L00031,Hebbal,3,1485,4,10,Semi-Furnished,34639
L00255,Rajajinagar,4,2374,15,15,Unfurnished,53385
L00154,Rajajinagar,2,1204,1,5,Semi-Furnished,33007
L00150,Indiranagar,3,1594,7,9,Fully-Furnished,67080/-
L00650,Jayanagar,3,1466,4,11,Semi-Furnished,46452
L00730,Malleshwaram,2,1090,3,5,Fully-Furnished,41238
L00077,Sarjapur Road,3,1599,14,16,Semi-Furnished,44038
L00140,Marathahalli,2,890,0,7,Unfurnished,232400
L00581,Koramangala,3,1569,8,8,Unfurnished,49664
L00635,Jayanagar,1,700,8,18,Unfurnished,17913/-
L00742,Jayanagar,1,598,1,7,Unfurnished,16023
L00601,Indiranagar,3,1578,3,14,Unfurnished,50266
L00248,Hebbal,2,,10,12,Fully-Furnished,26903
L00625,Malleshwaram,2,985,2,17,Semi-Furnished,29450
L00567,Bannerghatta Road,2,1200,0,12,Unfurnished,22077
L00283,Rajajinagar,1,569,4,7,Unfurnished,14973
L00160,Whitefield,2,915,2,12,Semi-Furnished,26266
L00356,Whitefield,3,1616,0,8,Unfurnished,38586
L00431,Koramangala,3,1398,6,13,Fully-Furnished,61178
L00598,Yelahanka,2,911,8,9,Semi-Furnished,19160
L00530,Hebbal,2,1194,8,15,Semi-Furnished,31907
L00008,JP Nagar,2,877,2,5,Unfurnished,19k
L00355,HSR Layout,1,512,5,7,Fully-Furnished,18160
L00453,Rajajinagar,1,606,3,15,Unfurnished,13947
L00252,Bannerghatta Road,1,709,6,13,Unfurnished,14051
L00684,Electronic City,1,520,0,5,Semi-Furnished,11665
L00690,Marathahalli,2,1136,2,9,Semi-Furnished,32440
L00228,Bannerghatta Road,4,2429,1,12,Unfurnished,520620
L00353,Hebbal,2,1208,4,7,Semi-Furnished,27k
L00685,Indiranagar,2,,3,10,Fully-Furnished,40618
L00207,Hebbal,2,965,3,3,Fully-Furnished,30615
L00152,Hebbal,1,504,10,17,Semi-Furnished,12200
L00089,Rajajinagar,1,633,6,6,Fully-Furnished,19489
L00524,Yelahanka,2,1136,0,6,Semi-Furnished,21598
L00064,Jayanagar,2,967,9,12,Semi-Furnished,26k
L00035,Koramangala,2,928,5,10,Unfurnished,27615
L00390,Yelahanka,2,1126,13,15,Fully-Furnished,23053
L00535,Koramangala,1,529,0,13,Unfurnished,18117
L00159,Malleshwaram,2,875,0,3,Fully-Furnished,29673
L00765,Malleshwaram,2,886,3,16,Unfurnished,26816
L00388,JP Nagar,2,1111,8,13,Semi-Furnished,28824
L00493,HSR Layout,4,2180,7,17,Unfurnished,56986
L00636,Hebbal,2,,0,4,Unfurnished,18783
L00142,Malleshwaram,3,1328,6,11,Semi-Furnished,37889
L00720,Electronic City,1,598,6,17,Unfurnished,12369
L00603,Sarjapur Road,2,900,4,7,Unfurnished,19901
L00348,Malleshwaram,2,882,7,7,Fully-Furnished,31388
L00500,Bannerghatta Road,3,1327,2,3,Unfurnished,27582
L00400,Whitefield,1,532,7,17,Fully-Furnished,18476
L00701,Bannerghatta Road,2,1067,10,11,Semi-Furnished,26007
L00675,Rajajinagar,3,1378,4,18,Fully-Furnished,42007
L00575,Malleshwaram,2,1096,4,7,Unfurnished,"₹31,939"
L00692,Yelahanka,1,738,6,11,Fully-Furnished,15694
L00391,BTM Layout,2,1215,2,12,Fully-Furnished,37178/-
