month,app_name,txn_volume,txn_value
2025-04-01,BHIM,484262652,302165618736
2025-04-01,Mobikwik,279550575,134524931231
2025-04-01,Freecharge,175721392,99976096455
2025-04-01,WhatsApp Pay,169272244,141922421631
2025-04-01,Others,277589256,175754703316
2025-05-01,PhonePe,4978861274,4319095717132
2025-05-01,Google Pay,4589769193,4231818307646
2025-05-01,Paytm,2113144333,1534603676607
2025-05-01,CRED,574429840,1326012463943
2025-05-01,Amazon Pay,599743004,564700530143
2025-05-01,BHIM,481170681,289201915810
2025-05-01,Mobikwik,265277835,129249911061
2025-05-01,WhatsApp Pay,169776959,138146468265
2025-05-01,Others,263800078,171678368409
2025-06-01,PhonePe,5065619265,4400542387414
2025-06-01,Google Pay,4579142277,4232410740488
2025-06-01,Paytm,2124304768,1433674490998
2025-06-01,CRED,601180991,1306379490391
2025-06-01,Amazon Pay,603228145,599819672046
2025-06-01,BHIM,468740778,273043272221
2025-06-01,Mobikwik,266632527,135218691957
2025-06-01,WhatsApp Pay,164925518,137266878018
2025-06-01,Others,262389180,167999416306
2025-07-01,PhonePe,5233955147,4437672161679
2025-07-01,GPay,4913885391,4372651444929
2025-07-01,Paytm,2068527203,1383042906616
2025-07-01,CRED,606384475,1323701923715
2025-07-01,Amazon Pay,593743403,574209404419
2025-07-01,BHIM,449091562,272018354727
2025-07-01,Mobikwik,254634349,130893297730
2025-07-01,Freecharge,154540045,87026324736
2025-07-01,WhatsApp Pay,153298482,117793960018
2025-07-01,Others,249547281,169715922496
2025-08-01,PhonePe,5297403818,4444609856089
2025-08-01,Google Pay,4959979348,4280412350857
2025-08-01,Paytm,2103535608,1508224350824
2025-08-01,CRED,619029854,1413997260727
2025-08-01,Amazon Pay,607655603,599550289554
2025-08-01,BHIM,442613996,275298477588
2025-08-01,Mobikwik,248842999,129225935470
2025-08-01,Freecharge,147219466,80270118895
2025-08-01,WhatsApp Pay,146884707,114511352735
2025-08-01,Others,247816795,161695968270
2025-08-01,Paytm,2103535608,1508224350824
2025-09-01,PhonePe,5584841561,4751596721361
2025-09-01,Google Pay,5135039738,4646615911908
2025-09-01,Paytm,2121852987,1483571910277
2025-09-01,CRED,654983580,1481823362984
2025-09-01,Amazon Pay,604532203,594905369795
2025-09-01,BHIM,441462925,269755169942
2025-09-01,Mobikwik,244638188,127712742249
2025-09-01,Freecharge,147382010,82785568223
2025-09-01,WhatsApp Pay,141307035,111396762549
2025-09-01,Others,237949262,158532219918
2025-10-01,PhonePe,6431406955,5673434112141
2025-10-01,Google Pay,5864133046,5521710345503
2025-10-01,Paytm,2357736986,1646487603192
2025-10-01,CRED,753629251,1667529807725
2025-10-01,Amazon Pay,641284610,594912133652
2025-10-01,BHIM,469965950,294902625649
2025-10-01,Mobikwik,263119755,131128964789
2025-10-01,Freecharge,151229718,83981265808
2025-10-01,WhatsApp Pay,153744897,120511985284
2025-10-01,Others,256734280,171122324803
2025-11-01,PhonePe,6567723302,5667275034932
2025-11-01,Google Pay,5756755103,5244283725284
2025-11-01,Paytm,2251618579,1502420135865
2025-11-01,CRED,787052270,1743804486956
2025-11-01,Amazon Pay,631963441,572358057346
2025-11-01,BHIM,465959910,276736237081
2025-11-01,Mobikwik,258473093,124713462938
2025-11-01,Freecharge,150443121,84583535382
2025-11-01,WhatsApp Pay,146871778,117795087398
2025-11-01,Others,262032359,167485736395
2025-12-01,PhonePe,5955448828,4994024064228
2025-12-01,Google Pay,5291338421,4609953749753
2025-12-01,Paytm,2022527178,1440804632899
2025-12-01,CRED,732234386,1599613030259
2025-12-01,Amazon Pay,547344817,529521156298
2025-12-01,BHIM,417782879,257254611939
2025-12-01,Mobikwik,224673691,107133618075
2025-12-01,WhatsApp Pay,126575094,96993799610
2025-12-01,Others,214095059,135620327435
2026-01-01,PhonePe,5959636036,5313706833021
2026-01-01,Google Pay,5507661016,5117732193010
2026-01-01,Paytm,2001179856,1414835144369
2026-01-01,CRED,744958816,1639214922984
2026-01-01,Amazon Pay,557079824,523886061487
2026-01-01,BHIM,392099266,225386887386
2026-01-01,Mobikwik,212442484,108163468548
2026-01-01,Freecharge,118195032,63154797279
2026-01-01,WhatsApp Pay,122807987,101071517839
2026-01-01,Others,208998814,134849178048
2026-02-01,PhonePe,5907785030,4924405120224
2026-02-01,Google Pay,5382394462,5049216242919
2026-02-01,Paytm,1985897306,1426843454319
2026-02-01,CRED,726876364,1597026872441
2026-02-01,Amazon Pay,512321949,497440012959
2026-02-01,BHIM,378672571,225195261942
2026-02-01,Mobikwik,199422815,103286055537
2026-02-01,Freecharge,111558528,61649005780
2026-02-01,WhatsApp Pay,107052810,86619512526
2026-02-01,Others,200241918,132916772902
2026-03-01,PhonePe,6242642597,5222987727390
2026-03-01,GPay,5713855162,5078151361295
2026-03-01,Paytm,2041260434,1445860879112
2026-03-01,CRED,763598427,1623483315955
2026-03-01,Amazon Pay,525980350,486267754984
2026-03-01,BHIM,378222798,228618696432
2026-03-01,Mobikwik,191217183,94870618154
2026-03-01,Freecharge,104437361,54668175198
2026-03-01,WhatsApp Pay,104389542,83354453836
2026-03-01,Others,191872402,125153944181
2026-04-01,PhonePe,6300266322,5170774197522
2026-04-01,Google Pay,5708633546,5063043033541
2026-04-01,Paytm,1994616025,1338739921008
2026-04-01,CRED,789439263,1655525921598
2026-04-01,Amazon Pay,523713487,495093271277
2026-04-01,BHIM,355190475,214217434719
2026-04-01,Mobikwik,189778507,92548624484
2026-04-01,Freecharge,100020012,55012891947
2026-04-01,WhatsApp Pay,96672738,76991770768
2026-04-01,Others,190076885,127597643051
2026-05-01,PhonePe,6364783321,5316641758429
2026-05-01,Google Pay,5825965272,5035265522932
2026-05-01,Paytm,2071615088,1485847930417
2026-05-01,CRED,824218977,1888773004737
2026-05-01,Amazon Pay,504991468,479960096316
2026-05-01,BHIM,351024951,217740132013
2026-05-01,Mobikwik,182071447,91375018741
2026-05-01,WhatsApp Pay,93245552,73952076017
2026-05-01,Others,181366443,122185537089
2026-06-01,PhonePe,6688388546,5455173586418
2026-06-01,Google Pay,5878915255,5134174383754
2026-06-01,Paytm,1992943838,1395825532758
2026-06-01,CRED,821424389,1742321574024
2026-06-01,Amazon Pay,502685416,463014267624
2026-06-01,BHIM,342890263,215413844372
2026-06-01,Mobikwik,170156774,85372007220
2026-06-01,WhatsApp Pay,84322761,67641885391
2026-06-01,Others,167801359,110572739844
